time_step,bus_voltages,bus_angles,load_p,load_q,gen_p,gen_q
680,"[1.06, 1.045, 1.0100000000000002, 1.0400813866335912, 1.0391501545779451, 1.07, 1.0861005287008876, 1.0900000000000003, 1.0955677146527825, 1.091066265034239, 1.0807548927666486, 1.0718946588800282, 1.0736611304606076, 1.0860083980523039]","[0.0, 1.3699420417849764, 1.7989808907569091, 1.12653354955684, 1.1048562112326605, 1.2993832230300915, 1.0148458616882154, 1.0148458616882154, 0.9578122419500962, 1.0034006753416413, 1.134306084105142, 1.2892000036912883, 1.2392341481784088, 1.0740373743111677]","[1.052921298140167e-06, 4.570745911742095e-06, 2.3193381590368663e-06, 3.6876506294309916e-07, 5.434432506529884e-07, 1.4313907048449273e-06, 4.366954692747234e-07, 1.6982601582905902e-07, 2.95982484730645e-07, 6.550432039120852e-07, 7.229736102437085e-07]","[6.162258288654438e-07, 9.219126573577468e-07, -1.8923470335238029e-07, 7.763475009328407e-08, 3.639128910622698e-07, 8.054605322178221e-07, 2.814259690881551e-07, 8.73390938549443e-08, 7.763475009328407e-08, 2.814259690881551e-07, 2.426085940415125e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.11741056926821, -38.48559951174611, -27.8890700529497, 2.412956977594556]"
681,"[1.06, 1.0450000000000002, 1.0099999999999996, 1.0400813864706617, 1.0391501544503852, 1.07, 1.0861005285024496, 1.0899999999999999, 1.0955677143144653, 1.0910662646850797, 1.0807548925560164, 1.0718946587236091, 1.073661130245312, 1.0860083976004582]","[0.0, 1.3699419824354746, 1.7989807533793531, 1.1265334412030212, 1.1048561176215201, 1.2993830763675016, 1.0148457254880476, 1.0148457254880472, 0.9578120915214497, 1.003400523041345, 1.1343059334659653, 1.2891998489160947, 1.2392339930907048, 1.0740372128072724]","[1.2666452626763094e-06, 5.498524596502673e-06, 2.7901218228538066e-06, 4.436176956838677e-07, 6.537523936393843e-07, 1.7219371082465953e-06, 5.253367448887915e-07, 2.0429762301230774e-07, 3.560615715357355e-07, 7.880051173331874e-07, 8.697241665381102e-07]","[7.413085177875179e-07, 1.109044239209668e-06, -2.276459227851432e-07, 9.339319909134062e-08, 4.3778062074066003e-07, 9.689544405726587e-07, 3.385503467061101e-07, 1.0506734897775786e-07, 9.339319909134062e-08, 3.385503467061101e-07, 2.9185374716043915e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.11741018795097, -38.485598980326436, -27.889069728851798, 2.4129571003859915]"
682,"[1.06, 1.045, 1.01, 1.0400813869480956, 1.0391501548241768, 1.07, 1.0861005290839343, 1.0900000000000003, 1.0955677153058416, 1.0910662657082264, 1.0807548931732351, 1.0718946591819658, 1.073661130876196, 1.0860083989245086]","[0.0, 1.3699421563482839, 1.7989811559390472, 1.1265337587139808, 1.1048563919317747, 1.2993835061352754, 1.0148461245976252, 1.0148461245976255, 0.9578125323249731, 1.003400969329392, 1.1343063748863873, 1.2892003024563659, 1.2392344475467372, 1.074037686064774]","[6.403664501569395e-07, 2.7798396131236656e-06, 1.410576788824964e-06, 2.242758074282364e-07, 3.305117162100327e-07, 8.705442525174984e-07, 2.655897719544909e-07, 1.032849113156353e-07, 1.8001084543582109e-07, 3.983846579317364e-07, 4.396986224579903e-07]","[3.747766782024487e-07, 5.606895185705903e-07, -1.1508890118027948e-07, 4.721595945857611e-08, 2.2132480996207596e-07, 4.89865579382727e-07, 1.711578530373386e-07, 5.311795439089795e-08, 4.721595945857611e-08, 1.711578530373386e-07, 1.475498733080502e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.117411305329142, -38.485600537555094, -27.889070678561566, 2.412956740568724]"
683,"[1.06, 1.045, 1.0100000000000002, 1.0400813868894454, 1.0391501547782582, 1.07, 1.0861005290125016, 1.0899999999999999, 1.0955677151840568, 1.0910662655825387, 1.080754893097413, 1.071894659125659, 1.0736611307986956, 1.0860083987618563]","[0.0, 1.3699421349840217, 1.798981106486723, 1.1265337197094447, 1.1048563582342186, 1.2993834533405917, 1.0148460755691342, 1.0148460755691342, 0.9578124781746025, 1.0034009145052838, 1.1343063206602386, 1.2892002467413528, 1.239234391719225, 1.0740376279275985]","[7.173014952772403e-07, 3.1138157076090256e-06, 1.5800466117166865e-06, 2.5122080018926336e-07, 3.7022012659470397e-07, 9.751333691556953e-07, 2.9749831601360175e-07, 1.1569378956084507e-07, 2.016377475203295e-07, 4.462474740204027e-07, 4.925249898447405e-07]","[4.1980317926363856e-07, 6.280520004731575e-07, -1.2891593693922753e-07, 5.2888589513529146e-08, 2.479152633446684e-07, 5.487191162028647e-07, 1.9172113698654337e-07, 5.9499663202720096e-08, 5.2888589513529146e-08, 1.9172113698654337e-07, 1.6527684222977843e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.117411168064773, -38.48560034625773, -27.88907056189507, 2.4129567847703974]"
684,"[1.06, 1.0450000000000002, 1.01, 1.040081386873997, 1.039150154766164, 1.07, 1.0861005289936871, 1.09, 1.0955677151519794, 1.0910662655494332, 1.080754893077442, 1.0718946591108287, 1.0736611307782824, 1.0860083987190146]","[0.0, 1.3699421293568559, 1.7989810934614123, 1.1265337094359875, 1.1048563493585706, 1.2993834394349029, 1.0148460626554447, 1.0148460626554445, 0.9578124639118498, 1.0034009000650723, 1.1343063063775196, 1.2892002320664684, 1.2392343770147207, 1.0740376126147602]","[7.375655052872364e-07, 3.201782055210023e-06, 1.6246834632594434e-06, 2.583178728194924e-07, 3.8067897047083106e-07, 1.0026812168651372e-06, 3.0590274412834673e-07, 1.1896217827213479e-07, 2.0733408213143442e-07, 4.5885411619252017e-07, 5.064389875013738e-07]","[4.3166276115888983e-07, 6.457946820487301e-07, -1.3255785578895035e-07, 5.438271006726159e-08, 2.5491895344028923e-07, 5.642206169478388e-07, 1.9713732399382347e-07, 6.118054882566908e-08, 5.438271006726159e-08, 1.9713732399382347e-07, 1.699459689601923e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.117411131909595, -38.48560029587192, -27.889070531166094, 2.412956796412786]"
685,"[1.06, 1.0450000000000002, 1.01, 1.0400813869909205, 1.0391501548577047, 1.0699999999999998, 1.0861005291360921, 1.0899999999999999, 1.0955677153947658, 1.0910662658000005, 1.0807548932285982, 1.0718946592230794, 1.0736611309327853, 1.0860083990432732]","[0.0, 1.3699421719479177, 1.798981192047853, 1.12653378719409, 1.1048564165368666, 1.2993835446845916, 1.014846160396965, 1.014846160396965, 0.9578125718641747, 1.00340100936055, 1.1343064144809296, 1.28920034313802, 1.2392344883105315, 1.074037728515025]","[5.841904994946197e-07, 2.5359790346724903e-06, 1.2868343721586561e-06, 2.0460128092899083e-07, 3.015176771585129e-07, 7.941760246585845e-07, 2.422909905738053e-07, 9.422427411203534e-08, 1.6421944916668977e-07, 3.6343648586070796e-07, 4.011261955055219e-07]","[3.418995089208145e-07, 5.115032023224763e-07, -1.0499276258198236e-07, 4.307395387978756e-08, 2.0190915881150463e-07, 4.468922715027958e-07, 1.561430828142301e-07, 4.845819811476084e-08, 4.307395387978756e-08, 1.561430828142301e-07, 1.3460610587433601e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.117411405554474, -38.48560067723551, -27.889070763748716, 2.4129567082938728]"
686,"[1.06, 1.0450000000000004, 1.0100000000000002, 1.0400813870141594, 1.0391501548758992, 1.0699999999999998, 1.0861005291643961, 1.0900000000000003, 1.0955677154430212, 1.091066265849802, 1.0807548932586406, 1.07189465924539, 1.0736611309634931, 1.0860083991077212]","[0.0, 1.3699421804130973, 1.7989812116423787, 1.1265338026488885, 1.10485642988888, 1.299383565603475, 1.014846179823561, 1.014846179823561, 0.9578125933202161, 1.0034010310835542, 1.134306435967004, 1.2892003652140276, 1.2392345104311173, 1.0740377515507664]","[5.537064802978262e-07, 2.4036474859011566e-06, 1.2196852423150278e-06, 1.9392485024255625e-07, 2.8578398983113565e-07, 7.527346160730818e-07, 2.2964784897144853e-07, 8.930749682222994e-08, 1.5565020874731465e-07, 3.4447177345717284e-07, 3.801947721860646e-07]","[3.2405863132637774e-07, 4.848121256063899e-07, -9.951406788762776e-08, 4.08262842615908e-08, 1.913732074762073e-07, 4.235726992140045e-07, 1.4799528044826684e-07, 4.59295697942895e-08, 4.08262842615908e-08, 1.4799528044826684e-07, 1.2758213831747116e-07]","[40.0, 0.0, 0.0, 0.0]","[-23.11741145994223, -38.485600753033275, -27.88907080997509, 2.41295669077984]"
687,"[1.06, 1.045, 1.0100000000000002, 1.0400813871750978, 1.0391501550019004, 1.0700000000000003, 1.0861005293604091, 1.09, 1.0955677157772055, 1.091066266194696, 1.0807548934667, 1.0718946593998977, 1.0736611311761586, 1.0860083995540462]","[0.0, 1.3699422390374743, 1.7989813473414749, 1.12653390967885, 1.104856522356292, 1.2993837104741384, 1.0148463143596447, 1.0148463143596447, 0.9578127419109338, 1.0034011815230512, 1.134306584765662, 1.289200518098172, 1.239234663623947, 1.074037911081405]","[3.4259377567997426e-07, 1.487204316546244e-06, 7.54653570391833e-07, 1.1998676014598153e-07, 1.7682259389934126e-07, 4.657380821455872e-07, 1.4208958438339938e-07, 5.525706059354417e-08, 9.630516274874819e-08, 2.131343765750991e-07, 2.3523720081251666e-07]","[2.005041912965749e-07, 2.9996690036495334e-07, -6.157215323280644e-08, 2.526037055704875e-08, 1.1840798698616627e-07, 2.620763445293807e-07, 9.156884326930182e-08, 2.8417916876679752e-08, 2.526037055704875e-08, 9.156884326930182e-08, 7.893865799077729e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.11741183659986, -38.48560127796071, -27.889071130113706, 2.4129565694886512]"
688,"[1.06, 1.045, 1.0100000000000005, 1.040081387188325, 1.0391501550122564, 1.0700000000000005, 1.0861005293765187, 1.0900000000000003, 1.0955677158046706, 1.091066266223041, 1.0807548934837996, 1.0718946594125962, 1.0736611311936368, 1.086008399590728]","[0.0, 1.3699422438555606, 1.798981358493996, 1.1265339184751744, 1.1048565299557858, 1.2993837223804563, 1.0148463254165865, 1.0148463254165865, 0.9578127541229695, 1.0034011938870353, 1.1343065969947992, 1.289200530663092, 1.239234676214242, 1.074037924192558]","[3.2524333695792586e-07, 1.4118858221860156e-06, 7.164346316400397e-07, 1.1391010879632402e-07, 1.6786752875247756e-07, 4.421510801962587e-07, 1.348935498903839e-07, 5.245860273514927e-08, 9.142785048125994e-08, 2.023403248355759e-07, 2.233237659296355e-07]","[1.9034978706754196e-07, 2.8477527199080963e-07, -5.8453871619166404e-08, 2.3981075536068225e-08, 1.1241129157532005e-07, 2.4880365868670775e-07, 8.69313988182474e-08, 2.6978709978076666e-08, 2.3981075536068225e-08, 8.69313988182474e-08, 7.494086105021314e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.11741186755694, -38.48560132110206, -27.889071156424915, 2.4129565595202713]"
689,"[1.06, 1.045, 1.01, 1.040081387139033, 1.039150154973665, 1.0700000000000003, 1.0861005293164843, 1.09, 1.0955677157023183, 1.0910662661174082, 1.0807548934200757, 1.0718946593652743, 1.073661131128503, 1.0860083994540295]","[0.0, 1.3699422259003773, 1.7989813169327624, 1.1265338856945835, 1.104856501635336, 1.2993836780101908, 1.014846284211561, 1.014846284211561, 0.9578127086133632, 1.0034011478111926, 1.134306551421498, 1.2892004838384876, 1.2392346292950929, 1.0740378753323108]","[3.899018610626733e-07, 1.6925693692213702e-06, 8.588621639998059e-07, 1.3655549051042907e-07, 2.0123967022589552e-07, 5.300509171128509e-07, 1.6171044928866623e-07, 6.28873969455924e-08, 1.0960374896231791e-07, 2.425656739329994e-07, 2.6772063271123624e-07]","[2.2819141177400705e-07, 3.413887262760721e-07, -7.007452802508875e-08, 2.8748524317985077e-08, 1.3475870774055534e-07, 2.982659397990951e-07, 1.0421340065269601e-07, 3.234208985773311e-08, 2.8748524317985077e-08, 1.0421340065269601e-07, 8.983913849370329e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.117411752196038, -38.48560116032991, -27.889071058374324, 2.4129565966688293]"
690,"[1.06, 1.045, 1.01, 1.0400813871397179, 1.0391501549742006, 1.07, 1.0861005293173172, 1.0899999999999999, 1.0955677157037385, 1.0910662661188748, 1.0807548934209605, 1.071894659365931, 1.0736611311294066, 1.0860083994559264]","[0.0, 1.369942226149513, 1.798981317509448, 1.1265338861494254, 1.1048565020282897, 1.2993836786258457, 1.0148462847832969, 1.0148462847832966, 0.9578127092448263, 1.0034011484505065, 1.1343065520538425, 1.2892004844882048, 1.2392346299461197, 1.074037876010271]","[3.890047010305525e-07, 1.6886747851187997e-06, 8.568859313023233e-07, 1.3624127778028538e-07, 2.007766198867364e-07, 5.2883127559453e-07, 1.6133835526612764e-07, 6.274269371460518e-08, 1.0935155190259731e-07, 2.420075328991915e-07, 2.671046103850335e-07]","[2.2766634576442484e-07, 3.406031944507129e-07, -6.99132872819887e-08, 2.8682374269533774e-08, 1.3444862938843985e-07, 2.9757963304641284e-07, 1.0397360672706004e-07, 3.226767105322539e-08, 2.8682374269533774e-08, 1.0397360672706004e-07, 8.963241959229297e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.117411753795967, -38.48560116256128, -27.889071059735006, 2.4129565961533643]"
691,"[1.06, 1.0450000000000002, 1.01, 1.0400813872829582, 1.0391501550863464, 1.0699999999999998, 1.0861005294917756, 1.09, 1.0955677160011734, 1.0910662664258413, 1.0807548936061393, 1.0718946595034478, 1.0736611313186852, 1.0860083998531707]","[0.0, 1.3699422783271877, 1.798981438286215, 1.1265339814097113, 1.1048565843274172, 1.2993838075656414, 1.0148464045249586, 1.0148464045249586, 0.9578128414955868, 1.0034012823467475, 1.1343066844896807, 1.289200620560274, 1.2392347662929344, 1.074038017997944]","[2.0110728798445662e-07, 8.730095174256113e-07, 4.429920905832733e-07, 7.043388887934871e-08, 1.0379730992746129e-07, 2.7339470025536735e-07, 8.340855262028148e-08, 3.243665935233168e-08, 5.6532463442635064e-08, 1.2511282893042226e-07, 1.3808749267135487e-07]","[1.1769873536417512e-07, 1.760847221983715e-07, -3.614370613545533e-08, 1.482818713249447e-08, 6.950712718356799e-08, 1.538424414996301e-07, 5.375217835529251e-08, 1.6681710524056227e-08, 1.482818713249447e-08, 5.375217835529251e-08, 4.633808478904518e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.117412089033422, -38.48560162976401, -27.889071344669297, 2.4129564882001446]"
692,"[1.06, 1.0450000000000002, 1.01, 1.0400813873144705, 1.0391501551110185, 1.07, 1.0861005295301558, 1.0900000000000003, 1.0955677160666077, 1.091066266493373, 1.0807548936468783, 1.0718946595337013, 1.073661131360326, 1.0860083999405634]","[0.0, 1.3699422898061087, 1.7989814648567277, 1.1265340023666703, 1.1048566024329591, 1.2993838359319803, 1.0148464308677465, 1.0148464308677465, 0.9578128705903386, 1.0034013118035017, 1.1343067136251532, 1.2892006504956939, 1.2392347962887953, 1.0740380492347712]","[1.597704386238901e-07, 6.935656828742125e-07, 3.519367265540069e-07, 5.5956466983482125e-08, 8.246216187039474e-08, 2.1719944421220087e-07, 6.626423721728156e-08, 2.5769425584498378e-08, 4.491242744726848e-08, 9.939635582592236e-08, 1.0970412605972167e-07]","[9.350620140660854e-08, 1.398911674587051e-07, -2.871450279415536e-08, 1.178030883862782e-08, 5.522019768106803e-08, 1.2222070420076362e-07, 4.270361954002589e-08, 1.3252847443456257e-08, 1.178030883862782e-08, 4.270361954002589e-08, 3.681346512071191e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.11741216278365, -38.48560173254729, -27.88907140735293, 2.412956464451181]"
693,"[1.06, 1.0450000000000002, 1.01, 1.040081387345817, 1.0391501551355597, 1.07, 1.0861005295683333, 1.0900000000000003, 1.0955677161316968, 1.091066266560547, 1.0807548936874016, 1.0718946595637948, 1.073661131401747, 1.0860084000274937]","[0.0, 1.3699423012243632, 1.7989814912868096, 1.1265340232128735, 1.1048566204428167, 1.2993838641484325, 1.0148464570713187, 1.0148464570713187, 0.9578128995313329, 1.003401341104586, 1.1343067426066544, 1.2892006802729323, 1.2392348261261596, 1.0740380803065475]","[1.1865208077864509e-07, 5.150703230114442e-07, 2.6136264798245337e-07, 4.1555567461645195e-08, 6.123978362768768e-08, 1.6130121580507055e-07, 4.921054041510622e-08, 1.9137432383652416e-08, 3.335381072579412e-08, 7.381581062265935e-08, 8.147078357612028e-08]","[6.944154036353887e-08, 1.0388891865411283e-07, -2.1324567513212708e-08, 8.748540518241096e-09, 4.1008783679255236e-08, 9.076610787675137e-08, 3.171345937862401e-08, 9.842108083021204e-09, 8.748540518241096e-09, 3.171345937862401e-08, 2.7339189119503407e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.117412236145878, -38.48560183478754, -27.889071469706703, 2.412956440827214]"
694,"[1.06, 1.0450000000000002, 1.0099999999999998, 1.040081387343899, 1.039150155134058, 1.0699999999999998, 1.0861005295659973, 1.09, 1.095567716127715, 1.091066266556438, 1.0807548936849225, 1.0718946595619534, 1.0736611313992124, 1.086008400022175]","[0.0, 1.3699423005257503, 1.7989814896697143, 1.126534021937413, 1.1048566193408975, 1.299383862422015, 1.0148464554680596, 1.0148464554680596, 0.9578128977605811, 1.003401339311797, 1.1343067408334264, 1.2892006784510195, 1.2392348243005704, 1.0740380784054255]","[1.2116786324332003e-07, 5.259913694710008e-07, 2.669043254852857e-07, 4.243667099766038e-08, 6.253825199655217e-08, 1.6472128874091896e-07, 5.025395249722946e-08, 1.9543203748922567e-08, 3.406101224812209e-08, 7.538092874584422e-08, 8.319821024541321e-08]","[7.091391074609056e-08, 1.0609167749415079e-07, -2.1776712748799447e-08, 8.934035999507451e-09, 4.187829374769127e-08, 9.26906234948898e-08, 3.238588049821455e-08, 1.0050790499445851e-08, 8.934035999507451e-09, 3.238588049821455e-08, 2.7918862498460763e-08]","[40.0, 0.0, 0.0, 0.0]","[-23.117412231657713, -38.485601828532246, -27.889071465891796, 2.4129564422723178]"
695,"[1.06, 1.045, 1.0100000000000002, 1.0400813874214228, 1.039150155194753, 1.07, 1.0861005296604171, 1.0899999999999999, 1.0955677162886912, 1.0910662667225726, 1.0807548937851443, 1.0718946596363808, 1.0736611315016542, 1.0860084002371702]","[0.0, 1.3699423287651906, 1.7989815550361437, 1.1265340734939018, 1.1048566638825854, 1.2993839322064407, 1.0148465202742896, 1.01484652027429, 0.9578129693369507, 1.0034014117787369, 1.1343068125099727, 1.2892007520955535, 1.2392348980938004, 1.0740381552515792]","[1.9474584697658797e-08, 8.453944140642644e-08, 4.2897933112815246e-08, 6.8205918756777195e-09, 1.005139855363033e-08, 2.647466583322279e-08, 8.077016694881521e-09, 3.14106204800948e-09, 5.474422426530792e-09, 1.2115525042322286e-08, 1.3371949861526072e-08]","[1.1397568002777274e-08, 1.7051479689194276e-08, -3.5000405677819947e-09, 1.4359140790900468e-09, 6.730847245734609e-09, 1.4897608570559234e-08, 5.205188536701425e-09, 1.6154033389762976e-09, 1.4359140790900468e-09, 5.205188536701425e-09, 4.487231497156393e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.117412413093557, -38.48560208138977, -27.889071620102854, 2.412956383846284]"
696,"[1.06, 1.0449999999999997, 1.01, 1.0400813874218688, 1.0391501551951021, 1.0699999999999998, 1.0861005296609596, 1.0900000000000005, 1.0955677162896165, 1.091066266723528, 1.0807548937857208, 1.0718946596368082, 1.0736611315022424, 1.086008400238406]","[0.0, 1.3699423289275734, 1.7989815554120137, 1.1265340737903446, 1.1048566641386928, 1.2993839326076795, 1.0148465206469248, 1.0148465206469248, 0.9578129697485158, 1.0034014121954151, 1.1343068129221026, 1.2892007525189795, 1.2392348985180843, 1.0740381556934389]","[1.88898058071769e-08, 8.200090815834375e-08, 4.160980265359706e-08, 6.6157845223292214e-09, 9.749577190800965e-09, 2.5679689922199014e-08, 7.834481671179352e-09, 3.0467428721253036e-09, 5.310037577132656e-09, 1.1751722506769033e-08, 1.2970419655619149e-08]","[1.1055324135997546e-08, 1.6539461305823034e-08, -3.394942057511055e-09, 1.3927967415429945e-09, 6.528734725982802e-09, 1.4450266193508569e-08, 5.0488881880933614e-09, 1.5668963342358641e-09, 1.3927967415429945e-09, 5.0488881880933614e-09, 4.352489817321855e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.117412414137785, -38.48560208284399, -27.889071620989924, 2.412956383510961]"
697,"[1.06, 1.045, 1.0100000000000002, 1.0400813874238823, 1.0391501551966784, 1.0700000000000005, 1.086100529663412, 1.09, 1.0955677162937978, 1.0910662667278428, 1.080754893788324, 1.0718946596387413, 1.0736611315049038, 1.0860084002439903]","[0.0, 1.3699423296610247, 1.7989815571097485, 1.1265340751294115, 1.1048566652955687, 1.299383934420173, 1.0148465223301186, 1.0148465223301184, 0.957812971607546, 1.0034014140775807, 1.1343068147837387, 1.2892007544317317, 1.2392349004346939, 1.0740381576893354]","[1.6248601355478758e-08, 7.053540311917488e-08, 3.579184999040944e-08, 5.690754391780565e-09, 8.386374893150313e-09, 2.208911244177988e-08, 6.739051253424363e-09, 2.6207421541094743e-09, 4.567579182876499e-09, 1.0108576880136549e-08, 1.1156873741780333e-08]","[9.509550102054393e-09, 1.4226885979451397e-08, -2.9202555431505593e-09, 1.19805355616433e-09, 5.61587604452031e-09, 1.2429805645204925e-08, 4.342944141095702e-09, 1.347810250684867e-09, 1.19805355616433e-09, 4.342944141095702e-09, 3.7439173630135284e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.11741241884932, -38.48560208941151, -27.889071624994717, 2.412956381993201]"
698,"[1.06, 1.0449999999999995, 1.01, 1.040081387421204, 1.0391501551945819, 1.0700000000000003, 1.0861005296601496, 1.0899999999999999, 1.0955677162882353, 1.0910662667221025, 1.0807548937848603, 1.0718946596361696, 1.073661131501364, 1.0860084002365624]","[0.0, 1.3699423286853472, 1.7989815548513197, 1.1265340733481122, 1.1048566637566335, 1.299383932009082, 1.0148465200910328, 1.0148465200910328, 0.9578129691345486, 1.0034014115738095, 1.1343068123072673, 1.289200751887278, 1.2392348978851069, 1.074038155034274]","[1.976212936527348e-08, 8.578767678381367e-08, 4.3531326435948045e-08, 6.921298763874565e-09, 1.0199808704657262e-08, 2.6865567570302656e-08, 8.196274851956734e-09, 3.187440220205396e-09, 5.555252955215103e-09, 1.2294412277935106e-08, 1.3569388366017259e-08]","[1.1565854513316742e-08, 1.7303246909686395e-08, -3.5517191025145872e-09, 1.4571155292367511e-09, 6.830229043297287e-09, 1.5117573615831294e-08, 5.28204379348323e-09, 1.63925497039134e-09, 1.4571155292367511e-09, 5.28204379348323e-09, 4.553486028864844e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.117412412582507, -38.48560208067501, -27.889071619666243, 2.4129563840119133]"
699,"[1.06, 1.045, 1.01, 1.0400813874196382, 1.0391501551933555, 1.0699999999999998, 1.0861005296582427, 1.0899999999999999, 1.0955677162849848, 1.091066266718748, 1.0807548937828366, 1.0718946596346666, 1.0736611314992948, 1.0860084002322201]","[0.0, 1.3699423281149874, 1.7989815535311156, 1.1265340723068247, 1.1048566628570249, 1.299383930599678, 1.014846518782148, 1.0148465187821483, 0.9578129676889313, 1.0034014101102013, 1.1343068108596426, 1.289200750399906, 1.2392348963947375, 1.0740381534822299]","[2.181599406972231e-08, 9.470353186026893e-08, 4.80555076743192e-08, 7.640624651146964e-09, 1.125986790695343e-08, 2.965768779063632e-08, 9.048108139516156e-09, 3.5187087209229485e-09, 6.1326066278942646e-09, 1.3572162209274238e-08, 1.4979645697643412e-08]","[1.2767885930206148e-08, 1.910156162786739e-08, -3.920846860457003e-09, 1.6085525581362037e-09, 7.540090116263472e-09, 1.6688732790663115e-08, 5.831003023243746e-09, 1.8096216279032237e-09, 1.6085525581362037e-09, 5.831003023243746e-09, 5.026726744175633e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.117412408916262, -38.48560207556822, -27.889071616552535, 2.4129563851917375]"
700,"[1.06, 1.045, 1.01, 1.0400813874170358, 1.039150155191318, 1.07, 1.0861005296550732, 1.0899999999999999, 1.0955677162795814, 1.091066266713171, 1.0807548937794726, 1.0718946596321683, 1.0736611314958562, 1.0860084002250037]","[0.0, 1.3699423271671518, 1.7989815513371323, 1.1265340705763738, 1.1048566613620199, 1.2993839282574138, 1.0148465166069767, 1.0148465166069764, 0.957812965286524, 1.0034014076779152, 1.1343068084538814, 1.2892007479280851, 1.2392348939179179, 1.0740381509029373]","[2.5229297092837166e-08, 1.0952072747213153e-07, 5.557421202938326e-08, 8.836067184588109e-09, 1.3021572693077223e-08, 3.429789236123025e-08, 1.0463763771222776e-08, 4.069241466586634e-09, 7.092106556050972e-09, 1.569564565683417e-08, 1.7323342243468817e-08]","[1.4765533321614383e-08, 2.209016796147025e-08, -4.534297634196539e-09, 1.8602246704396026e-09, 8.719803142685658e-09, 1.929983095581088e-08, 6.743314430343569e-09, 2.092752754244547e-09, 1.8602246704396026e-09, 6.743314430343569e-09, 5.813202095123755e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.117412402826083, -38.485602067081025, -27.88907161137523, 2.4129563871530824]"
701,"[1.06, 1.045, 1.01, 1.040081387418085, 1.0391501551921398, 1.07, 1.086100529656351, 1.09, 1.0955677162817599, 1.0910662667154194, 1.0807548937808291, 1.0718946596331758, 1.0736611314972428, 1.0860084002279131]","[0.0, 1.369942327549302, 1.7989815522217079, 1.126534071274052, 1.1048566619647708, 1.2993839292017568, 1.014846517483957, 1.0148465174839572, 0.9578129662551209, 1.0034014086585563, 1.1343068094238111, 1.289200748924669, 1.2392348949165155, 1.0740381519428501]","[2.38531037009213e-08, 1.0354665293210968e-07, 5.2542781424149236e-08, 8.354082402165964e-09, 1.2311279329507746e-08, 3.24270303768285e-08, 9.892992318354445e-09, 3.847274790471172e-09, 6.705250349106882e-09, 1.4839488477531673e-08, 1.6378398393720135e-08]","[1.3960111382566849e-08, 2.0885206005414887e-08, -4.2869633379535955e-09, 1.7587541899296772e-09, 8.244160265295382e-09, 1.8247074720520406e-08, 6.3754839384950886e-09, 1.978598463670881e-09, 1.7587541899296772e-09, 6.3754839384950886e-09, 5.4961068435302385e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.117412405282376, -38.48560207050267, -27.889071613462523, 2.4129563863623726]"
702,"[1.06, 1.0449999999999993, 1.01, 1.0400813874131587, 1.0391501551882827, 1.07, 1.0861005296503514, 1.09, 1.095567716271531, 1.0910662667048627, 1.0807548937744604, 1.0718946596284462, 1.0736611314907334, 1.0860084002142514]","[0.0, 1.36994232575485, 1.7989815480680298, 1.1265340679979363, 1.1048566591344098, 1.299383924767361, 1.0148465133658968, 1.014846513365897, 0.9578129617068579, 1.0034014040537074, 1.1343068048692002, 1.2892007442449742, 1.2392348902273742, 1.0740381470597198]","[3.031517751074863e-08, 1.3159860467799596e-07, 6.677721129095782e-08, 1.061729719270456e-08, 1.56465432313541e-08, 4.121187726115597e-08, 1.257311509662384e-08, 4.8895447597981586e-09, 8.521778009933912e-09, 1.8859672644935766e-08, 2.081549054885502e-08]","[1.7742062414124778e-08, 2.6543242981761372e-08, -5.448349875203667e-09, 2.2352204616220135e-09, 1.0477595913853214e-08, 2.3190412289328396e-08, 8.10267417337981e-09, 2.514623019324758e-09, 2.2352204616220135e-09, 8.10267417337981e-09, 6.985063942568789e-09]","[40.0, 0.0, 0.0, 0.0]","[-23.11741239375418, -38.48560205443473, -27.88907160366385, 2.4129563900749247]"
